序号,一级模块,二级模块,页面名称,功能编号,功能名称,功能描述,操作说明,业务规则,输入项,输出项,异常处理,权限要求,关联页面,备注
222,系统管理,用户管理,用户管理,F-222,用户状态筛选,系统支持按用户状态筛选,用户选择状态（全部/启用/停用）后点击查询,无,状态,筛选指定状态的用户,无,系统管理员权限,无,
223,系统管理,用户管理,用户管理,F-223,用户查询,系统根据筛选条件更新用户列表,用户点击"查询"按钮,无,无,刷新用户列表,无,系统管理员权限,无,
224,系统管理,用户管理,用户管理,F-224,用户重置,系统恢复用户筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新用户列表,无,系统管理员权限,无,
225,系统管理,用户管理,用户管理,F-225,新增用户,系统支持新增系统用户,用户点击"新增用户"按钮，在弹出的新增窗口中填写用户信息后保存,1.姓名和登录账号为必填；2.角色、所属站点、状态为必选,姓名（必填）、登录账号（必填）、手机号、邮箱、角色（必选）、所属站点（必选）、状态（启用/停用）,系统提示"用户创建成功"并刷新列表,无,系统管理员权限,无,
226,系统管理,用户管理,用户管理,F-226,角色权限配置入口,系统提供跳转至角色权限配置页面的入口,用户点击"角色权限配置"按钮跳转至角色权限页面,角色权限作为独立页面访问，不再作为系统管理二级菜单展示,无,跳转至角色权限页面,无,系统管理员权限,角色权限,
227,系统管理,用户管理,用户管理,F-227,用户刷新,系统重新加载用户列表数据,用户点击"刷新"按钮,无,无,刷新用户列表数据,无,系统管理员权限,无,
228,系统管理,用户管理,用户管理,F-228,用户编辑,系统支持编辑用户信息,用户点击"编辑"按钮，在弹出的编辑窗口中修改用户信息后保存,可编辑字段：姓名、登录账号、手机号、邮箱、角色、所属站点、状态,用户编辑表单,系统提示"用户信息已更新",无,系统管理员权限,无,
229,系统管理,用户管理,用户管理,F-229,用户停用/启用,系统支持停用或启用用户,用户点击"停用"或"启用"按钮,内置系统管理员（admin角色）不可停用,无,用户状态变更，系统提示对应消息,内置系统管理员不可停用：提示"内置系统管理员不可停用",系统管理员权限,无,
230,系统管理,用户管理,用户管理,F-230,用户重置密码,系统支持重置用户密码,用户点击"重置密码"按钮并确认,重置密码操作需二次确认,无,确认弹窗，确认后执行密码重置,无,系统管理员权限,无,
231,系统管理,角色权限,角色权限,F-231,角色权限页面展示,系统提供角色权限配置界面，包含菜单权限、按钮权限和数据权限的配置,用户从用户管理页点击"角色权限配置"进入,1.内置系统管理员角色不可删除、不可停用、不可降权；2.系统必须至少保留一个启用状态且具备系统管理权限的管理员用户,无,展示角色权限配置界面,无,系统管理员权限,用户管理,
232,系统管理,角色权限,角色权限,F-232,角色列表选择,系统支持在角色列表中切换选中角色以查看和编辑其权限配置,用户点击左侧角色列表中的角色名称,角色列表包含系统中所有已定义的角色,角色名称,加载选中角色的权限配置,无,系统管理员权限,无,
233,系统管理,角色权限,角色权限,F-233,菜单权限配置,系统支持配置角色可访问的菜单项,用户在菜单权限区域勾选或取消勾选菜单权限,菜单权限控制左侧导航菜单可见性,菜单权限复选框,更新角色菜单权限配置,无,系统管理员权限,无,
234,系统管理,角色权限,角色权限,F-234,按钮权限配置,系统支持配置角色可使用的操作按钮权限,用户在按钮权限区域勾选或取消勾选按钮权限,按钮权限控制新增/编辑/导出/分配/转交/配置等操作,按钮权限复选框,更新角色按钮权限配置,无,系统管理员权限,无,
235,系统管理,角色权限,角色权限,F-235,数据权限配置,系统支持配置角色的数据可见范围,用户选择数据权限范围,数据权限范围选项：仅本人、本团队、本区域、全部,数据权限范围选择,更新角色数据权限配置,无,系统管理员权限,无,
236,系统管理,角色权限,角色权限,F-236,保存角色权限,系统保存当前角色的权限配置,用户点击"保存权限"按钮,保存后权限即时生效,无,系统提示"角色权限已保存",无,系统管理员权限,无,
237,系统管理,系统日志,系统日志,F-237,系统日志页面展示,系统提供系统日志查询界面，包含登录日志和操作日志,用户从左侧菜单进入系统日志页面,日志数据按类型分类：登录日志和操作日志,无,展示系统日志页面,无,系统管理员权限,无,
238,系统管理,系统日志,系统日志,F-238,登录日志Tab,系统以表格形式展示登录日志记录，包含登录时间、登录账号、用户姓名、IP、方式、结果、浏览器、操作系统,用户切换至"登录日志"Tab,登录日志记录用户的登录行为和结果,无,展示登录日志列表,无,系统管理员权限,无,
239,系统管理,系统日志,系统日志,F-239,操作日志Tab,系统以表格形式展示操作日志记录，包含操作时间、操作人、操作类型、业务对象、对象名称、操作内容、IP地址,用户切换至"操作日志"Tab,操作日志记录用户的操作行为,无,展示操作日志列表,无,系统管理员权限,无,
240,系统管理,系统日志,系统日志,F-240,日志时间范围筛选,系统支持按时间范围筛选日志,用户选择时间范围后点击查询,适用于登录日志和操作日志,时间范围,筛选指定时间范围的日志,无,系统管理员权限,无,
241,系统管理,系统日志,系统日志,F-241,登录日志-账号搜索,系统支持按登录账号模糊搜索登录日志,用户在登录日志Tab中输入账号后点击查询,仅适用于登录日志,登录账号,筛选匹配的登录日志,无,系统管理员权限,无,
242,系统管理,系统日志,系统日志,F-242,操作日志-操作人搜索,系统支持按操作人模糊搜索操作日志,用户在操作日志Tab中输入操作人后点击查询,仅适用于操作日志,操作人,筛选匹配的操作日志,无,系统管理员权限,无,
243,系统管理,系统日志,系统日志,F-243,日志结果/类型筛选,系统支持按登录结果或操作类型筛选日志,用户选择筛选条件后点击查询,1.登录日志按结果筛选（全部/成功/失败）；2.操作日志按类型筛选（全部/新增/编辑/配置）,结果/类型,筛选匹配的日志,无,系统管理员权限,无,
244,系统管理,系统日志,系统日志,F-244,日志查询,系统根据筛选条件更新日志列表,用户点击"查询"按钮,无,无,刷新日志列表,无,系统管理员权限,无,
245,系统管理,系统日志,系统日志,F-245,日志重置,系统恢复日志筛选条件至默认值并重新加载,用户点击"重置"按钮,无,无,重置筛选条件并刷新日志列表,无,系统管理员权限,无,
246,系统管理,系统日志,系统日志,F-246,日志导出,系统创建日志导出任务（预留功能）,用户点击"导出"按钮,本期导出为预留功能,无,系统提示"已创建日志导出任务",无,系统管理员权限,无,
247,系统管理,系统日志,系统日志,F-247,日志详情查看,系统展示单条日志的详细内容,用户点击日志行中的"详情"按钮,无,无,弹窗展示日志详情,无,系统管理员权限,无,
248,系统管理,系统参数,系统参数,F-248,系统参数页面展示,系统提供全局AI、业务规则、消息提醒与公共参数的配置界面,用户从左侧菜单进入系统参数页面,配置项按分组在Tab中展示,无,展示系统参数配置页面,无,系统管理员权限,无,
249,系统管理,系统参数,系统参数,F-249,AI能力配置Tab,系统支持配置AI服务商、模型、API Endpoint和AI增强能力开关,用户切换至"AI能力配置"Tab，修改后保存,包含本月用量展示（只读）,AI服务商、模型、API Endpoint、启用AI增强能力（开启/关闭）,系统提示"配置已保存",无,系统管理员权限,无,
250,系统管理,系统参数,系统参数,F-250,业务规则配置Tab,系统展示业务规则参数列表并支持编辑,用户切换至"业务规则配置"Tab，可查看和编辑各项业务规则参数,以表格形式展示规则名称、说明和当前配置值,参数编辑表单,系统提示"参数已更新",无,系统管理员权限,无,
251,系统管理,系统参数,系统参数,F-251,消息提醒规则Tab,系统展示消息提醒规则参数列表并支持编辑,用户切换至"消息提醒规则"Tab，可查看和编辑提醒规则参数,以表格形式展示规则名称、说明和当前配置值,参数编辑表单,系统提示"参数已更新",无,系统管理员权限,无,
252,系统管理,系统参数,系统参数,F-252,系统参数Tab,系统展示公共系统参数列表并支持编辑,用户切换至"系统参数"Tab，可查看和编辑公共参数,以表格形式展示参数名称、说明和当前配置值,参数编辑表单,系统提示"参数已更新",无,系统管理员权限,无,
253,系统管理,系统参数,系统参数,F-253,系统参数编辑,系统支持编辑单个系统参数的值,用户点击参数行中的"编辑"按钮,无,参数编辑表单,系统提示"参数已更新",无,系统管理员权限,无,
254,个人中心,个人中心,我的资料,F-254,个人中心导航,系统提供个人中心页面的侧边导航，包含我的资料、账号绑定、修改密码、登录安全四个子页面,用户从Header右上角用户头像进入个人中心，点击侧边导航切换子页面,个人中心为非菜单入口，由Header用户头像进入,无,切换个人中心子页面,无,全部已登录用户,无,
255,个人中心,个人中心,我的资料,F-255,我的资料查看,系统展示当前登录用户的基本资料,用户在个人中心选择"我的资料"查看,展示姓名、手机号、邮箱、所属角色,无,展示用户基本资料,无,全部已登录用户,无,
256,个人中心,个人中心,我的资料,F-256,我的资料保存,系统支持用户修改个人资料并保存,用户修改资料后点击"保存"按钮,可修改字段：姓名、手机号、邮箱（本期角色为只读展示）,我的资料编辑字段,系统提示"个人信息已更新",无,全部已登录用户,无,
257,个人中心,个人中心,账号绑定,F-257,账号绑定页面,系统展示当前用户已绑定的邮箱和WhatsApp信息,用户在个人中心选择"账号绑定"查看,展示已绑定邮箱及绑定时间、已绑定WhatsApp账号,无,展示绑定信息,无,全部已登录用户,无,
258,个人中心,个人中心,账号绑定,F-258,新增邮箱绑定,系统支持用户新增邮箱绑定,用户点击"新增绑定"按钮,无,无,系统提示"邮箱绑定成功",无,全部已登录用户,无,
259,个人中心,个人中心,账号绑定,F-259,删除邮箱绑定,系统支持用户解除已绑定的邮箱,用户点击"删除绑定"按钮并确认,删除绑定需二次确认,无,确认弹窗，确认后邮箱绑定被删除,无,全部已登录用户,无,
260,个人中心,个人中心,账号绑定,F-260,解绑WhatsApp,系统支持用户解除已绑定的WhatsApp账号,用户点击"解绑"按钮并确认,解绑操作需二次确认,无,确认弹窗，确认后WhatsApp账号解绑,无,全部已登录用户,无,
261,个人中心,个人中心,修改密码,F-261,修改密码,系统支持用户修改当前登录密码,用户在个人中心选择"修改密码"，输入新密码和确认新密码后点击"确认修改",1.新密码与确认新密码须一致；2.修改成功后系统登出当前用户并跳转至登录页,新密码（必填）、确认新密码（必填）,密码修改成功，系统登出并跳转至登录页,两次密码不一致：前端校验提示,全部已登录用户,登录,
262,个人中心,个人中心,登录安全,F-262,登录安全页面,系统展示当前登录设备信息：浏览器、操作系统、IP地址、登录方式,用户在个人中心选择"登录安全"查看,无,无,展示当前登录设备信息,无,全部已登录用户,无,
263,个人中心,个人中心,登录安全,F-263,退出登录,系统支持用户主动退出当前登录会话,用户点击"退出登录"按钮,退出后清除Token和会话，跳转至登录页,无,系统登出并跳转至登录页,无,全部已登录用户,登录,退出无需二次确认
